NAME                                VERSION                       TYPE                     
@isaacs/cliui                       8.0.2                         npm                      
@isaacs/string-locale-compare       1.1.0                         npm                      
@npmcli/agent                       2.2.2                         npm                      
@npmcli/arborist                    7.5.4                         npm                      
@npmcli/config                      8.3.4                         npm                      
@npmcli/fs                          3.1.1                         npm                      
@npmcli/git                         5.0.8                         npm                      
@npmcli/installed-package-contents  2.1.0                         npm                      
@npmcli/map-workspaces              3.0.6                         npm                      
@npmcli/metavuln-calculator         7.1.1                         npm                      
@npmcli/name-from-folder            2.0.0                         npm                      
@npmcli/node-gyp                    3.0.0                         npm                      
@npmcli/package-json                5.2.0                         npm                      
@npmcli/promise-spawn               7.0.2                         npm                      
@npmcli/query                       3.1.0                         npm                      
@npmcli/redact                      2.0.1                         npm                      
@npmcli/run-script                  8.1.0                         npm                      
@pkgjs/parseargs                    0.11.0                        npm                      
@sigstore/bundle                    2.3.2                         npm                      
@sigstore/core                      1.1.0                         npm                      
@sigstore/protobuf-specs            0.3.2                         npm                      
@sigstore/sign                      2.3.2                         npm                      
@sigstore/tuf                       2.3.4                         npm                      
@sigstore/verify                    1.2.1                         npm                      
@tufjs/canonical-json               2.0.0                         npm                      
@tufjs/models                       2.0.1                         npm                      
@types/node                         26.1.0                        npm                      
abbrev                              2.0.0                         npm                      
accepts                             1.3.8                         npm                      
adduser                             3.118+deb11u1                 deb                      
agent-base                          7.1.1                         npm                      
aggregate-error                     3.1.0                         npm                      
ansi-regex                          5.0.1                         npm                      
ansi-regex                          6.0.1                         npm     (+1 duplicate)   
ansi-styles                         4.3.0                         npm                      
ansi-styles                         6.2.1                         npm                      
aproba                              2.0.0                         npm                      
apt                                 2.2.4                         deb                      
archy                               1.0.0                         npm                      
array-flatten                       1.1.1                         npm                      
aws-ssl-profiles                    1.1.2                         npm                      
balanced-match                      1.0.2                         npm                      
base-files                          11.1+deb11u11                 deb                      
base-passwd                         3.5.51                        deb                      
bash                                5.1-2+deb11u1                 deb                      
bin-links                           4.0.4                         npm                      
binary-extensions                   2.3.0                         npm                      
body-parser                         1.20.5                        npm                      
brace-expansion                     2.0.1                         npm                      
bsdutils                            1:2.36.1-8+deb11u2            deb                      
buffer-equal-constant-time          1.0.1                         npm                      
bytes                               3.1.2                         npm                      
cacache                             18.0.3                        npm                      
call-bind-apply-helpers             1.0.2                         npm                      
call-bound                          1.0.4                         npm                      
chalk                               5.3.0                         npm                      
chownr                              2.0.0                         npm                      
ci-info                             4.0.0                         npm                      
cidr-regex                          4.1.1                         npm                      
clean-stack                         2.2.0                         npm                      
cli-columns                         4.0.0                         npm                      
cmd-shim                            6.0.3                         npm                      
color-convert                       2.0.1                         npm                      
color-name                          1.1.4                         npm                      
common-ancestor-path                1.0.1                         npm                      
content-disposition                 0.5.4                         npm                      
content-type                        1.0.5                         npm                      
cookie                              0.7.2                         npm                      
cookie-signature                    1.0.7                         npm                      
corepack                            0.32.0                        npm                      
coreutils                           8.32-4+b1                     deb                      
cors                                2.8.6                         npm                      
cross-spawn                         7.0.3                         npm                      
cssesc                              3.0.0                         npm                      
dash                                0.5.11+git20200708+dd9ef66-5  deb                      
debconf                             1.5.77                        deb                      
debian-archive-keyring              2021.1.1+deb11u1              deb                      
debianutils                         4.11.2                        deb                      
debug                               2.6.9                         npm                      
debug                               4.3.5                         npm                      
denque                              2.1.0                         npm                      
depd                                2.0.0                         npm                      
destroy                             1.2.0                         npm                      
diff                                5.2.0                         npm                      
diffutils                           1:3.7-5                       deb                      
dotenv                              16.6.1                        npm                      
dpkg                                1.20.13                       deb                      
dunder-proto                        1.0.1                         npm                      
e2fsprogs                           1.46.2-2+deb11u1              deb                      
eastasianwidth                      0.2.0                         npm                      
ecdsa-sig-formatter                 1.0.11                        npm                      
ee-first                            1.1.1                         npm                      
emoji-regex                         8.0.0                         npm                      
emoji-regex                         9.2.2                         npm     (+1 duplicate)   
encodeurl                           2.0.0                         npm                      
encoding                            0.1.13                        npm                      
env-paths                           2.2.1                         npm                      
err-code                            2.0.3                         npm                      
es-define-property                  1.0.1                         npm                      
es-errors                           1.3.0                         npm                      
es-object-atoms                     1.1.2                         npm                      
escape-html                         1.0.3                         npm                      
etag                                1.8.1                         npm                      
exponential-backoff                 3.1.1                         npm                      
express                             4.22.2                        npm                      
fastest-levenshtein                 1.0.16                        npm                      
finalhandler                        1.3.2                         npm                      
findutils                           4.8.0-1                       deb                      
foreground-child                    3.2.1                         npm                      
forwarded                           0.2.0                         npm                      
fresh                               0.5.2                         npm                      
fs-minipass                         2.1.0                         npm                      
fs-minipass                         3.0.3                         npm                      
function-bind                       1.1.2                         npm                      
gcc-10-base                         10.2.1-6                      deb                      
gcc-9-base                          9.3.0-22                      deb                      
generate-function                   2.3.1                         npm                      
get-intrinsic                       1.3.0                         npm                      
get-proto                           1.0.1                         npm                      
glob                                10.4.2                        npm                      
gopd                                1.2.0                         npm                      
gpgv                                2.2.27-2+deb11u2              deb                      
graceful-fs                         4.2.11                        npm                      
grep                                3.6-1+deb11u1                 deb                      
gzip                                1.10-4+deb11u1                deb                      
has-symbols                         1.1.0                         npm                      
hasown                              2.0.4                         npm                      
hosted-git-info                     7.0.2                         npm                      
hostname                            3.23                          deb                      
http-cache-semantics                4.1.1                         npm                      
http-errors                         2.0.1                         npm                      
http-proxy-agent                    7.0.2                         npm                      
https-proxy-agent                   7.0.5                         npm                      
iconv-lite                          0.4.24                        npm                      
iconv-lite                          0.6.3                         npm                      
iconv-lite                          0.7.3                         npm                      
ignore-walk                         6.0.5                         npm                      
imurmurhash                         0.1.4                         npm                      
indent-string                       4.0.0                         npm                      
inherits                            2.0.4                         npm                      
ini                                 4.1.3                         npm                      
init-package-json                   6.0.3                         npm                      
init-system-helpers                 1.60                          deb                      
ip-address                          9.0.5                         npm                      
ip-regex                            5.0.0                         npm                      
ipaddr.js                           1.9.1                         npm                      
is-cidr                             5.1.0                         npm                      
is-fullwidth-code-point             3.0.0                         npm                      
is-lambda                           1.0.1                         npm                      
is-property                         1.0.2                         npm                      
isexe                               2.0.0                         npm                      
isexe                               3.1.1                         npm                      
jackspeak                           3.4.0                         npm                      
jsbn                                1.1.0                         npm                      
json-parse-even-better-errors       3.0.2                         npm                      
json-stringify-nice                 1.1.4                         npm                      
jsonparse                           1.3.1                         npm                      
jsonwebtoken                        9.0.3                         npm                      
just-diff                           6.0.2                         npm                      
just-diff-apply                     5.5.0                         npm                      
